Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,MEAN,STD
0.22,5,8,7,5,8,4,4,5,6,4,4,4,3,9,6,6,7,4,5,6,3,6,5,6,4,6,6,7,5,5,3,4,3,7,6,7,5,5,7,4,5,4,5,4,5,5,5,6,5,4,4,5,5,5,9,7,6,7,6,5,6,4,8,8,5,7,5,8,10,8,8,8,3,6,5,4,6,3,3,3,6,4,4,3,6,5,4,4,2,4,5,7,7,5,5,6,3,5,10,9,7,7,5,5,5,3,5.424528302,1.67302471
0.23,7,7,8,5,6,3,6,6,5,4,3,4,3,8,6,7,6,3,5,7,4,5,4,6,3,8,4,3,4,7,4,5,5,7,6,9,5,3,6,4,4,4,6,6,5,3,9,5,6,5,7,5,4,3,9,6,5,9,5,6,4,5,6,7,3,6,4,10,11,6,8,7,4,5,6,3,4,3,5,5,5,5,3,3,8,5,4,5,4,4,5,6,7,7,6,5,4,5,7,7,7,7,5,4,4,4,5.386792453,1.721410024
0.24,6,4,4,4,7,2,5,7,7,4,4,6,4,6,5,6,5,3,6,6,5,4,3,5,4,6,5,2,6,4,4,4,4,6,6,8,4,4,6,5,3,5,7,7,6,5,6,5,7,3,7,5,3,4,9,6,7,7,8,7,5,3,8,5,3,5,3,7,14,7,6,9,2,6,9,4,9,4,8,5,5,7,5,4,5,9,6,4,5,2,4,7,4,7,5,6,1,6,8,6,5,6,8,5,5,3,5.405660377,1.921201518
0.25,6,6,5,4,6,4,4,5,5,4,3,5,4,6,6,5,6,3,7,6,3,5,5,4,2,5,5,4,6,3,4,6,5,5,5,6,6,5,7,7,5,5,7,6,6,3,7,3,9,5,4,5,5,5,6,6,8,4,9,10,4,8,6,7,3,4,3,9,14,8,9,9,4,5,5,5,6,4,6,3,6,5,5,4,5,7,5,7,3,3,6,8,4,9,5,6,4,6,6,6,6,5,7,6,6,2,5.471698113,1.84239775
0.26,6,3,5,6,8,3,5,6,5,5,3,5,5,6,7,8,5,3,5,7,4,4,5,5,7,6,3,5,7,5,5,4,6,4,7,6,5,3,7,5,5,5,8,4,6,3,6,3,9,4,5,4,4,6,6,8,7,6,9,7,5,7,5,7,3,11,2,9,13,7,10,8,6,4,6,5,5,3,5,4,4,6,4,6,7,8,5,7,5,3,4,4,5,9,5,5,4,4,5,9,7,8,7,6,6,5,5.632075472,1.883894
0.27,8,6,6,5,5,2,6,6,5,4,4,7,3,8,6,5,5,3,6,7,5,5,5,5,5,5,4,4,5,4,3,5,5,5,6,7,7,2,8,4,5,5,6,4,8,4,7,8,11,5,4,4,4,5,6,7,6,5,6,4,5,9,7,8,3,9,4,11,13,8,5,9,5,4,5,5,5,7,4,3,6,4,6,8,6,11,8,7,4,3,4,7,6,10,5,6,5,4,6,10,5,11,4,6,6,4,5.764150943,2.063523971
0.28,6,4,4,5,5,2,6,5,5,5,4,5,3,6,7,7,5,2,5,6,4,7,4,5,5,6,5,6,6,5,3,6,5,6,6,4,8,5,5,5,7,5,7,5,7,4,7,7,14,6,5,4,4,8,6,7,6,3,7,6,7,10,6,6,3,7,4,11,15,9,8,8,6,5,9,6,7,5,6,4,6,4,7,7,7,10,11,5,4,3,3,4,5,9,5,5,4,5,6,11,3,7,6,6,6,3,5.867924528,2.182508263
0.29,6,6,7,5,5,2,6,6,4,4,3,5,2,7,9,6,5,2,6,4,3,7,7,3,2,5,6,7,6,5,3,5,6,6,6,5,4,7,6,5,5,6,8,5,8,4,7,6,14,9,3,4,5,8,4,8,6,4,7,4,6,8,7,4,3,7,6,11,9,12,10,5,6,5,7,5,5,6,7,5,7,8,5,7,5,5,7,6,2,4,5,6,5,9,5,6,3,7,7,10,7,7,5,6,6,2,5.801886792,2.090430857
0.3,4,5,5,6,7,1,2,8,4,4,3,5,3,8,7,4,4,4,6,6,5,3,5,5,6,6,5,7,6,6,3,5,5,6,6,5,5,7,6,6,4,6,6,7,6,4,7,4,12,9,3,4,3,5,6,7,8,5,5,6,6,8,7,4,3,6,2,6,12,11,8,8,5,4,7,8,6,4,6,3,4,8,4,6,5,5,7,6,4,5,7,5,7,8,4,7,3,6,7,11,10,8,12,6,6,3,5.745283019,2.102430887
0.31,5,6,8,5,5,3,1,6,5,4,4,5,1,11,10,7,4,3,6,5,3,5,5,5,7,5,6,8,5,6,5,8,5,4,5,6,5,6,6,6,3,5,8,6,9,4,7,6,9,6,3,5,4,6,2,12,5,5,6,4,3,8,5,5,3,6,3,8,16,9,8,10,7,4,7,8,5,4,6,6,5,7,4,9,5,5,7,6,4,7,7,8,5,7,4,6,4,5,7,10,11,7,6,5,5,3,5.849056604,2.27530198
