Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,Sample 107,Sample 108,Sample 109,Sample 110,Sample 111,MEAN,SD
0.59,0,4,6,8,1,0,1,1,1,0,6,1,3,3,4,1,4,4,4,4,1,6,3,4,3,4,6,0,5,3,4,2,2,0,0,3,0,2,6,5,6,3,2,4,3,3,5,2,6,2,5,9,4,3,1,2,2,2,3,4,3,5,3,2,3,1,1,3,3,2,1,2,2,1,4,5,2,4,2,4,8,3,4,9,5,5,3,8,5,4,4,5,5,1,2,3,4,1,2,4,3,3,4,5,2,1,1,1,1,6,2,3.18018018,1.99635212
0.6,0,3,7,4,1,0,1,2,1,0,5,2,3,3,3,1,4,4,3,6,2,4,4,4,4,4,7,0,5,3,4,2,3,0,0,2,0,2,8,5,6,3,2,4,3,2,4,2,11,2,5,8,5,1,1,3,3,2,3,4,3,4,3,2,2,1,1,2,2,2,1,3,2,1,9,4,2,6,2,5,6,4,7,4,6,4,1,7,4,4,4,5,6,1,2,3,4,1,1,4,4,3,4,6,2,1,1,2,2,5,2,3.216216216,2.086342626
0.61,0,3,7,4,2,0,1,1,3,0,6,2,4,4,3,1,4,5,2,5,1,3,5,4,3,4,5,0,5,1,5,2,4,0,0,2,0,2,7,4,7,3,2,4,4,4,3,2,5,3,4,8,4,2,1,2,4,2,5,4,4,5,3,2,3,1,2,2,4,2,2,2,2,1,9,5,1,4,2,3,8,3,5,6,5,4,3,5,4,4,4,5,6,1,2,4,4,1,1,4,3,3,4,4,2,2,1,2,1,3,2,3.171171171,1.867783684
0.62,0,3,9,5,2,0,1,1,3,0,7,2,2,3,3,1,4,4,1,4,0,4,4,5,3,4,4,0,5,2,5,2,4,0,1,2,0,2,6,5,7,3,2,4,4,4,5,2,10,1,4,9,3,1,1,2,1,1,5,4,3,6,4,3,3,1,2,2,2,2,1,1,2,1,9,4,1,3,3,2,7,5,10,8,5,5,3,5,4,4,4,4,5,1,2,4,4,1,1,4,5,2,4,9,2,2,2,1,1,3,2,3.243243243,2.269225804
0.63,0,3,13,3,1,0,1,1,4,0,7,0,3,3,6,1,4,4,2,2,1,3,5,3,5,4,3,0,5,3,4,2,2,0,2,1,1,2,2,5,6,3,2,4,3,3,3,2,7,1,4,9,9,3,1,3,2,1,4,4,4,8,3,5,3,1,2,2,4,2,1,1,2,1,5,4,3,1,3,3,5,2,12,5,5,4,3,3,3,4,4,5,6,1,2,4,4,1,1,4,3,2,4,5,2,2,1,1,2,4,1,3.135135135,2.250197916
0.64,0,2,11,3,2,0,1,1,4,0,6,0,4,4,3,1,4,4,2,3,1,3,7,3,5,5,4,0,5,3,4,2,2,0,2,1,0,2,1,6,4,4,2,4,3,3,4,2,7,3,4,7,6,2,1,4,2,1,3,3,4,10,4,7,2,1,2,2,7,2,1,1,2,1,5,3,2,2,3,1,5,2,11,7,5,4,3,3,4,4,5,5,6,2,2,4,4,1,1,4,3,2,4,4,2,2,1,1,1,3,1,3.135135135,2.18460101
0.65,0,4,9,4,1,0,1,0,0,0,3,0,3,3,3,1,4,4,1,4,0,3,7,4,5,3,5,0,6,2,4,2,2,0,2,1,0,2,2,7,5,4,2,4,3,3,3,2,6,1,4,5,3,2,2,4,5,2,2,4,3,3,3,6,2,1,3,2,4,2,2,1,2,1,5,5,2,1,3,2,3,4,6,8,5,5,4,3,3,4,4,3,6,2,2,4,3,1,1,4,3,2,3,6,2,2,1,1,1,4,1,2.900900901,1.858420419
0.66,0,3,12,3,1,0,1,0,1,0,4,0,5,2,2,1,3,4,0,3,0,2,4,4,4,3,6,0,6,1,5,2,2,1,2,2,0,2,2,6,6,3,2,4,4,3,3,2,4,1,4,7,4,2,2,4,6,3,2,4,3,4,3,5,1,1,5,2,5,3,2,2,2,1,6,3,2,2,3,1,4,2,7,7,5,6,2,7,5,4,3,3,6,2,2,4,2,1,1,4,5,2,3,5,2,2,2,1,1,3,1,2.963963964,2.008744194
0.67,0,3,9,2,1,0,1,0,3,0,4,0,2,3,0,2,3,5,1,2,0,4,4,4,4,3,6,0,6,1,3,2,2,1,2,1,0,2,2,6,5,4,2,4,4,3,3,2,7,1,6,11,5,2,1,5,5,1,3,4,3,5,3,6,1,1,3,2,5,2,2,2,2,1,4,2,2,2,3,1,6,4,9,7,5,5,3,5,8,4,3,3,5,3,2,4,4,1,1,4,4,2,2,6,2,2,2,1,2,2,1,3.027027027,2.116856415
0.68,0,5,13,1,2,0,1,0,2,0,5,1,4,2,1,0,2,4,1,1,1,5,4,4,3,2,4,0,4,1,4,1,2,1,2,3,1,2,5,4,5,4,2,4,2,3,6,2,8,2,3,12,5,1,3,3,7,2,2,2,3,9,3,4,1,1,2,2,3,2,2,3,2,1,6,3,2,2,3,2,5,1,6,4,6,5,4,4,5,4,3,2,3,3,2,4,2,1,1,4,5,2,2,7,2,2,1,1,3,5,1,2.990990991,2.213575863
